Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.0004
Sample Interval,3.2e-06
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Label,
TIME,CH1
-2.906e-03,1.72
-2.902e-03,1.72
-2.899e-03,1.7
-2.896e-03,1.68
-2.893e-03,1.68
-2.890e-03,1.68
-2.886e-03,1.66
-2.883e-03,1.66
-2.880e-03,1.66
-2.877e-03,1.66
-2.874e-03,1.64
-2.870e-03,1.64
-2.867e-03,1.62
-2.864e-03,1.62
-2.861e-03,1.6
-2.858e-03,1.6
-2.854e-03,1.6
-2.851e-03,1.6
-2.848e-03,1.58
-2.845e-03,1.56
-2.842e-03,1.56
-2.838e-03,1.56
-2.835e-03,1.54
-2.832e-03,1.54
-2.829e-03,1.52
-2.826e-03,1.52
-2.822e-03,1.5
-2.819e-03,1.5
-2.816e-03,1.5
-2.813e-03,1.48
-2.810e-03,1.48
-2.806e-03,1.48
-2.803e-03,1.46
-2.800e-03,1.46
-2.797e-03,1.44
-2.794e-03,1.42
-2.790e-03,1.42
-2.787e-03,1.42
-2.784e-03,1.4
-2.781e-03,1.4
-2.778e-03,1.38
-2.774e-03,1.38
-2.771e-03,1.36
-2.768e-03,1.36
-2.765e-03,1.36
-2.762e-03,1.34
-2.758e-03,1.34
-2.755e-03,1.32
-2.752e-03,1.3
-2.749e-03,1.3
-2.746e-03,1.28
-2.742e-03,1.26
-2.739e-03,1.28
-2.736e-03,1.26
-2.733e-03,1.26
-2.730e-03,1.24
-2.726e-03,1.22
-2.723e-03,1.22
-2.720e-03,1.2
-2.717e-03,1.2
-2.714e-03,1.18
-2.710e-03,1.18
