Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.02
Sample Interval,0.00016
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Label,
TIME,CH1
-6.160e-02,4.88
-6.144e-02,4.88
-6.128e-02,4.88
-6.112e-02,4.88
-6.096e-02,4.96
-6.080e-02,4.88
-6.064e-02,4.96
-6.048e-02,4.88
-6.032e-02,4.96
-6.016e-02,4.88
-6.000e-02,4.88
-5.984e-02,4.88
-5.968e-02,4.88
-5.952e-02,4.96
-5.936e-02,4.96
-5.920e-02,4.88
-5.904e-02,4.96
-5.888e-02,4.96
-5.872e-02,4.96
-5.856e-02,4.88
-5.840e-02,4.96
-5.824e-02,4.88
-5.808e-02,4.88
-5.792e-02,4.88
-5.776e-02,4.88
-5.760e-02,4.96
-5.744e-02,4.88
-5.728e-02,4.88
-5.712e-02,4.88
-5.696e-02,4.88
-5.680e-02,4.96
-5.664e-02,4.88
-5.648e-02,4.96
-5.632e-02,4.88
-5.616e-02,4.88
-5.600e-02,4.96
-5.584e-02,4.88
-5.568e-02,4.88
-5.552e-02,4.88
-5.536e-02,4.88
-5.520e-02,4.88
-5.504e-02,4.88
-5.488e-02,4.88
-5.472e-02,4.88
-5.456e-02,4.8
-5.440e-02,4.8
-5.424e-02,4.8
-5.408e-02,4.8
-5.392e-02,4.8
-5.376e-02,4.8
-5.360e-02,4.8
-5.344e-02,4.8
-5.328e-02,4.8
-5.312e-02,4.8
-5.296e-02,4.72
-5.280e-02,4.8
-5.264e-02,4.72
-5.248e-02,4.72
-5.232e-02,4.72
-5.216e-02,4.72
-5.200e-02,4.72
-5.184e-02,4.72
-5.168e-02,4.64
-5.152e-02,4.72
-5.136e-02,4.72
-5.120e-02,4.72
-5.104e-02,4.64
-5.088e-02,4.64
-5.072e-02,4.64
-5.056e-02,4.64
-5.040e-02,4.64
-5.024e-02,4.56
-5.008e-02,4.56
-4.992e-02,4.56
-4.976e-02,4.56
-4.960e-02,4.56
-4.944e-02,4.48
-4.928e-02,4.48
-4.912e-02,4.48
-4.896e-02,4.48
-4.880e-02,4.48
-4.864e-02,4.48
-4.848e-02,4.4
-4.832e-02,4.4
-4.816e-02,4.4
-4.800e-02,4.4
-4.784e-02,4.4
-4.768e-02,4.4
-4.752e-02,4.32
-4.736e-02,4.32
-4.720e-02,4.32
-4.704e-02,4.24
-4.688e-02,4.32
-4.672e-02,4.24
-4.656e-02,4.24
-4.640e-02,4.24
-4.624e-02,4.24
-4.608e-02,4.16
-4.592e-02,4.16
-4.576e-02,4.16
-4.560e-02,4.16
-4.544e-02,4.08
-4.528e-02,4.16
-4.512e-02,4.08
-4.496e-02,4.08
-4.480e-02,4
-4.464e-02,4
-4.448e-02,4
-4.432e-02,4
-4.416e-02,3.92
-4.400e-02,3.92
-4.384e-02,4
-4.368e-02,3.92
-4.352e-02,3.92
-4.336e-02,3.84
-4.320e-02,3.84
-4.304e-02,3.84
-4.288e-02,3.84
-4.272e-02,3.84
-4.256e-02,3.76
-4.240e-02,3.76
-4.224e-02,3.76
-4.208e-02,3.68
-4.192e-02,3.68
-4.176e-02,3.68
-4.160e-02,3.68
-4.144e-02,3.6
-4.128e-02,3.6
-4.112e-02,3.6
-4.096e-02,3.52
-4.080e-02,3.52
-4.064e-02,3.52
-4.048e-02,3.52
-4.032e-02,3.44
-4.016e-02,3.44
-4.000e-02,3.44
-3.984e-02,3.36
-3.968e-02,3.44
-3.952e-02,3.36
-3.936e-02,3.36
-3.920e-02,3.28
-3.904e-02,3.28
-3.888e-02,3.28
-3.872e-02,3.28
-3.856e-02,3.2
-3.840e-02,3.2
-3.824e-02,3.2
-3.808e-02,3.2
-3.792e-02,3.04
-3.776e-02,3.12
-3.760e-02,3.04
-3.744e-02,3.04
-3.728e-02,2.96
-3.712e-02,2.96
-3.696e-02,2.96
-3.680e-02,2.96
-3.664e-02,2.88
-3.648e-02,2.96
-3.632e-02,2.88
-3.616e-02,2.88
-3.600e-02,2.8
-3.584e-02,2.8
-3.568e-02,2.8
-3.552e-02,2.8
-3.536e-02,2.72
-3.520e-02,2.72
-3.504e-02,2.64
-3.488e-02,2.64
-3.472e-02,2.64
-3.456e-02,2.56
-3.440e-02,2.56
-3.424e-02,2.56
-3.408e-02,2.56
-3.392e-02,2.56
-3.376e-02,2.48
-3.360e-02,2.48
-3.344e-02,2.48
-3.328e-02,2.48
-3.312e-02,2.4
-3.296e-02,2.4
-3.280e-02,2.32
-3.264e-02,2.32
-3.248e-02,2.32
-3.232e-02,2.32
-3.216e-02,2.24
-3.200e-02,2.24
-3.184e-02,2.24
-3.168e-02,2.16
-3.152e-02,2.16
-3.136e-02,2.08
-3.120e-02,2.08
-3.104e-02,2.08
-3.088e-02,2.08
-3.072e-02,2
-3.056e-02,2
-3.040e-02,2
-3.024e-02,2
-3.008e-02,1.92
-2.992e-02,1.92
-2.976e-02,1.84
-2.960e-02,1.84
-2.944e-02,1.84
-2.928e-02,1.84
-2.912e-02,1.76
-2.896e-02,1.76
-2.880e-02,1.68
-2.864e-02,1.68
-2.848e-02,1.68
-2.832e-02,1.68
-2.816e-02,1.68
-2.800e-02,1.68
-2.784e-02,1.6
-2.768e-02,1.6
-2.752e-02,1.6
-2.736e-02,1.52
-2.720e-02,1.52
-2.704e-02,1.52
-2.688e-02,1.52
-2.672e-02,1.44
-2.656e-02,1.44
-2.640e-02,1.44
-2.624e-02,1.44
-2.608e-02,1.36
-2.592e-02,1.28
-2.576e-02,1.28
-2.560e-02,1.28
-2.544e-02,1.28
-2.528e-02,1.2
-2.512e-02,1.2
-2.496e-02,1.2
-2.480e-02,1.12
-2.464e-02,1.12
-2.448e-02,1.12
-2.432e-02,1.12
-2.416e-02,1.12
-2.400e-02,1.12
-2.384e-02,1.04
-2.368e-02,0.96
-2.352e-02,1.04
-2.336e-02,1.04
-2.320e-02,0.96
-2.304e-02,0.96
-2.288e-02,0.96
-2.272e-02,0.96
-2.256e-02,0.88
-2.240e-02,0.96
-2.224e-02,0.88
-2.208e-02,0.8
-2.192e-02,0.8
-2.176e-02,0.8
-2.160e-02,0.8
-2.144e-02,0.8
-2.128e-02,0.8
-2.112e-02,0.72
-2.096e-02,0.72
-2.080e-02,0.72
-2.064e-02,0.72
-2.048e-02,0.64
-2.032e-02,0.64
-2.016e-02,0.64
-2.000e-02,0.64
-1.984e-02,0.64
-1.968e-02,0.56
-1.952e-02,0.64
-1.936e-02,0.56
-1.920e-02,0.56
-1.904e-02,0.56
-1.888e-02,0.56
-1.872e-02,0.56
-1.856e-02,0.48
-1.840e-02,0.48
-1.824e-02,0.48
-1.808e-02,0.4
-1.792e-02,0.4
-1.776e-02,0.4
-1.760e-02,0.4
-1.744e-02,0.4
-1.728e-02,0.4
-1.712e-02,0.4
-1.696e-02,0.32
-1.680e-02,0.32
-1.664e-02,0.32
-1.648e-02,0.32
-1.632e-02,0.24
-1.616e-02,0.32
-1.600e-02,0.32
-1.584e-02,0.24
-1.568e-02,0.24
-1.552e-02,0.24
-1.536e-02,0.24
-1.520e-02,0.24
-1.504e-02,0.16
-1.488e-02,0.24
-1.472e-02,0.24
-1.456e-02,0.24
-1.440e-02,0.16
-1.424e-02,0.16
-1.408e-02,0.16
-1.392e-02,0.16
-1.376e-02,0.16
-1.360e-02,0.16
-1.344e-02,0.16
-1.328e-02,0.16
-1.312e-02,0.08
-1.296e-02,0.08
-1.280e-02,0.08
-1.264e-02,0.08
-1.248e-02,0.08
-1.232e-02,0.08
-1.216e-02,0.08
-1.200e-02,0.08
-1.184e-02,0.08
-1.168e-02,0.08
-1.152e-02,0.08
-1.136e-02,0.08
-1.120e-02,0.08
-1.104e-02,0.08
-1.088e-02,0.08
-1.072e-02,0
-1.056e-02,0.08
-1.040e-02,0
-1.024e-02,0
-1.008e-02,0
-9.920e-03,0
-9.760e-03,0
-9.600e-03,0
-9.440e-03,0.08
-9.280e-03,0.08
-9.120e-03,0
-8.960e-03,0
-8.800e-03,0
-8.640e-03,0
-8.480e-03,0
-8.320e-03,0.08
-8.160e-03,0
-8.000e-03,0
-7.840e-03,0
-7.680e-03,0
-7.520e-03,0
-7.360e-03,0
-7.200e-03,0.08
-7.040e-03,0.08
-6.880e-03,0.08
-6.720e-03,0
-6.560e-03,0.08
-6.400e-03,0.08
-6.240e-03,0.08
-6.080e-03,0.08
-5.920e-03,0.08
-5.760e-03,0
-5.600e-03,0.08
-5.440e-03,0.08
-5.280e-03,0.08
-5.120e-03,0
-4.960e-03,0.08
-4.800e-03,0.08
-4.640e-03,0.08
-4.480e-03,0.16
-4.320e-03,0.16
-4.160e-03,0.08
-4.000e-03,0.16
-3.840e-03,0.08
-3.680e-03,0.16
-3.520e-03,0.16
-3.360e-03,0.16
-3.200e-03,0.16
-3.040e-03,0.24
-2.880e-03,0.16
-2.720e-03,0.24
-2.560e-03,0.24
-2.400e-03,0.24
-2.240e-03,0.16
-2.080e-03,0.24
-1.920e-03,0.24
-1.760e-03,0.24
-1.600e-03,0.24
-1.440e-03,0.32
-1.280e-03,0.32
-1.120e-03,0.32
-9.600e-04,0.32
-8.000e-04,0.32
-6.400e-04,0.32
-4.800e-04,0.32
-3.200e-04,0.32
-1.600e-04,0.4
-4.042e-15,0.4
1.600e-04,0.4
3.200e-04,0.48
4.800e-04,0.4
6.400e-04,0.48
8.000e-04,0.4
9.600e-04,0.4
1.120e-03,0.48
1.280e-03,0.48
1.440e-03,0.56
1.600e-03,0.56
1.760e-03,0.48
1.920e-03,0.56
2.080e-03,0.56
2.240e-03,0.56
2.400e-03,0.64
2.560e-03,0.64
2.720e-03,0.64
2.880e-03,0.64
3.040e-03,0.64
3.200e-03,0.72
3.360e-03,0.72
3.520e-03,0.72
3.680e-03,0.8
3.840e-03,0.72
4.000e-03,0.8
4.160e-03,0.8
4.320e-03,0.88
4.480e-03,0.88
4.640e-03,0.88
4.800e-03,0.88
4.960e-03,0.96
5.120e-03,0.96
5.280e-03,0.88
5.440e-03,0.96
5.600e-03,0.96
5.760e-03,1.04
5.920e-03,1.04
6.080e-03,0.96
6.240e-03,1.04
6.400e-03,1.04
6.560e-03,1.12
6.720e-03,1.12
6.880e-03,1.12
7.040e-03,1.12
7.200e-03,1.12
7.360e-03,1.2
7.520e-03,1.2
7.680e-03,1.2
7.840e-03,1.28
8.000e-03,1.28
8.160e-03,1.28
8.320e-03,1.28
8.480e-03,1.36
8.640e-03,1.36
8.800e-03,1.36
